,spot,timestamp,reporter,reporter_grid,snr,frequency,tx_call,tx_grid,power,drift,distance,azimuth,band,version,code
4541493,1093722523,1520245320,DC5AL-R,JO31lk,9,7.040113000000001,G0NJS,IO91vs,37,0,496,91,7,,0
4692526,1093866340,1520259000,KA3JIJ,EM84cj,-27,10.140175,WB0KSL,EM28nu,37,0,1105,113,10,,0
17907988,1107180087,1521372240,PI9ESA,JO22ff,-5,10.140179,IQ6KX,JN63so,20,0,1172,328,10,,0
10270295,1099476317,1520727720,PA0EHG,JO22hb,-17,3.594176,PA7MDJ,JO21is,23,0,33,350,3,,0
29854808,1119235300,1522494360,AG5OV,EL09,-10,7.040137,WA4KFZ,FM18gv,37,0,2236,249,7,1.9.0-rc3,0
17284312,1106552709,1521310320,DL1KAI,JO42vj,-13,5.366268,G4ZFQ,IO90ir,30,0,787,72,5,1.8.0,0
22005641,1111287751,1521764760,KV0S,EM38,-20,10.140179,VA3UAL,EN94xc,27,0,1251,244,10,1.8.0,0
9448304,1098651931,1520641920,K3SC,FM19lh,-4,7.040181,WV5L,EM74sc,37,0,878,47,7,1.6.0,0
448744,1089591346,1519903920,G7VGY,IO90is,-18,7.040094,PA0ANH,JO22lh,27,-1,465,251,7,1.9.0-rc2,0
9784893,1098988233,1520675280,SM0EPX/RX2,JO89si,-20,10.140144,9A9Y,JN85iw,10,0,1493,2,10,1.6.0,0
18341690,1107611834,1521399720,G4WLC,IO81rs,11,1.838052,PA0A,JO33de,43,0,618,259,1,1.8.0,0
13744809,1102985977,1521023040,VK5MR,PF89kk,-19,7.040114,VK3YE,QF21nw,20,0,1126,315,7,1.8.0-rc1,0
12583804,1101813875,1520934840,KA7OEI-2,DN31uo,-2,1.838159,VE6XH,DO24tc,37,0,1398,173,1,1.2 Kiwi,0
25765983,1115081907,1522101480,WA1DLZ,FN54bp,-6,10.140158999999999,AJ8S,EM89bt,27,0,1270,60,10,1.8.0,0
23189670,1112470046,1521871800,M6GQU,IO91tm,-13,7.040116,DJ0ABR,JN68nt,37,0,1006,293,7,,0
6867873,1096048384,1520438640,W3BCW,FM19ka,-15,7.040135,WA4KFZ,FM18gv,37,0,32,64,7,1.7.0-deve,0
16999991,1106268482,1521288480,AC0G,EM38ww,-24,7.040012,VK3DXE,QF21nv,37,0,15119,70,7,1.8.0,0
28785840,1118155248,1522404720,OE2XRM,JN67lt,-15,7.0400990000000006,M6WMY,IO93is,37,1,1198,118,7,2.12_r3617,0
28714689,1118084516,1522398480,PI9ESA,JO22ff,-5,3.594118,G0FTD,JO01,30,0,254,69,3,,0
19058322,1108332554,1521469320,N2BJW,FN34im,-20,7.0400979999999995,AC4ML,FM04,40,0,1220,22,7,1.9.0-rc2,0
19286186,1108560436,1521486480,EA1KV,IN52og,-33,0.475717,EA1FBU,IN52qg,33,0,14,270,0,1.8.0-rc1,0
27381488,1116726990,1522271160,PA0EHG,JO22hb,-17,0.47578400000000004,IK1HSS,JN35tb,23,0,809,345,0,,0
17923945,1107196671,1521373320,LA9JO,JP99gb,-15,14.097024,DL9UPJ,JO53,27,0,1776,10,14,2.0_r1714,0
10694717,1099897186,1520771640,EI7HZB,IO65fb,-4,14.097002,OE3XOE,JN87aq,27,0,1819,306,14,2.12_r3617,0
6876530,1096057560,1520439240,NV0O,EM28tt,-18,10.140153999999999,W1XP,FN42fo,37,0,1964,265,10,1.9.0-rc2,0
11159310,1100362031,1520807640,PA0EHG,JO22hb,-15,3.594128,DL1FX,JN49gr,23,0,378,315,3,,0
13116905,1102347690,1520973960,K9DZT,EN52wx,-21,7.040106,VE3FKN,FN03,23,0,738,269,7,1.8.0-rc3,0
788913,1089931476,1519931400,VK5KJP,PF95gd,-24,7.040056,VK6JB,PF09rg,27,1,1659,111,7,1.8.0,0
14633568,1103885156,1521091920,KA3JIJ,EM84cj,-24,7.03998,KB9AMG,EN52tx,37,0,1034,156,7,,0
6930513,1096112745,1520442840,OE5AFP,JN78dh,3,10.140139,G6ORN,IO91jo,37,0,1165,102,10,1.2 Kiwi,0
5468970,1094646464,1520327280,WB3AVN,FM19,-16,0.475709,K5DNL,EM15lj,37,0,1819,70,0,1.8.0-rc2,0
4195107,1093359936,1520209560,N2BJW,FN34im,2,0.475652,WA4SZE,EM65,23,0,1540,45,0,1.8.0-rc2,0
26986628,1116333027,1522236240,ON7KB,JO21ei,-3,7.04015,DH5RAE,JN68qv,33,0,697,296,7,17.7.0,0
